address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Professor Arnaldo João Semeraro,Jardim Santa Emilia,64,2,1,Apartamento,1550,2060,-23.649409,-46.5997873
Rua Dona Elisa,Barra Funda,70,3,1,Apartamento,4800,5790,-23.5297569,-46.6630989
Rua Cônego Vicente Miguel Marino,Barra Funda,99,3,2,Apartamento,4500,5566,-23.5266013,-46.6540593
Rua Frei Caneca,Consolação,28,1,0,Studio e kitnet,1700,2366,-23.5531867,-46.6521291
Rua Gustavo da Silveira,Vila Santa Catarina,160,4,1,Casa,3000,3137,-23.6489644,-46.6602756
Rua Arnaldo Cintra,Vila Moreira,49,2,1,Apartamento,1995,2636,-23.5277539,-46.5611838
Rua Otto de Barros,Vila Santo Estéfano,58,2,2,Apartamento,2120,3223,-23.6234508,-46.6268146
Rua Santa Izabel,Vila Augusta,66,2,2,Apartamento,2600,3254,-23.477748,-46.5417244
Rua São Miguel,Bela Vista,35,1,1,Apartamento,2500,3296,-23.5551069,-46.6545922
Rua Riskallah Jorge,Centro Histórico de São Paulo,28,0,0,Studio e kitnet,1207,1647,-23.5415578,-46.6353304
